Data;Pret_act_NFLX;Pret_indice Nasdaq;Volum_act_NFLX;Volum_indice Nasdaq
01.02.2021;539.039978;13403.38965;3547500;7014220000
02.02.2021;548.159973;13612.78027;3767600;7240220000
03.02.2021;539.450012;13610.54004;3172300;7465240000
04.02.2021;552.159973;13777.74023;5164500;7218680000
05.02.2021;550.789978;13856.29981;2376200;6697720000
08.02.2021;547.919983;13987.63965;2791700;8439940000
09.02.2021;559.070007;14007.7002;3703500;8658980000
10.02.2021;563.590027;13972.53027;3991300;10165550000
11.02.2021;557.590027;14025.76953;2730600;10000200000
12.02.2021;556.52002;14095.46973;2197100;7352960000
16.02.2021;557.280029;14047.5;2624100;7646300000
17.02.2021;551.340027;13965.49023;2069600;7227140000
18.02.2021;548.219971;13865.36035;2456200;6454280000
19.02.2021;540.219971;13874.45996;2841500;6686060000
22.02.2021;533.780029;13533.04981;3078600;6435100000
23.02.2021;546.150024;13465.2002;4136500;7482840000
24.02.2021;553.409973;13597.96973;3245000;5793430000
25.02.2021;546.700012;13119.42969;4252900;6335240000
26.02.2021;538.849976;13192.34961;3755600;5883880000
01.03.2021;550.640015;13588.83008;3041400;5047710000
02.03.2021;547.820007;13358.79004;3042200;4920320000
03.03.2021;520.700012;12997.75;5362400;5493960000
04.03.2021;511.290009;12723.46973;5034800;7799710000
05.03.2021;516.390015;12920.15039;5070000;7696900000
08.03.2021;493.329987;12609.16016;3981800;5971260000
09.03.2021;506.440002;13073.82031;3470000;6294910000
10.03.2021;504.540009;13068.83008;3771500;5991730000
11.03.2021;523.059998;13398.66992;4714500;5956260000
12.03.2021;518.02002;13319.86035;3981700;5472340000
15.03.2021;520.25;13459.70996;3484300;5933440000
16.03.2021;524.030029;13471.57031;3238900;5463770000
17.03.2021;524.440002;13525.2002;2817400;5465500000
18.03.2021;504.790009;13116.16992;4094500;5699900000
19.03.2021;512.179993;13215.24023;4386400;7591530000
22.03.2021;523.109985;13377.54004;3360600;5302770000
23.03.2021;535.090027;13227.7002;5583500;5607860000
24.03.2021;520.809998;12961.88965;4102200;6184470000
25.03.2021;502.859985;12977.67969;4926800;5608640000
26.03.2021;508.049988;13138.73047;3467800;5195330000
29.03.2021;513.950012;13059.65039;3330000;4934000000
30.03.2021;513.390015;13045.38965;2418100;4685320000
31.03.2021;521.659973;13246.87012;3503100;4980670000
01.04.2021;539.419983;13480.11035;3938600;4553470000
05.04.2021;540.669983;13705.58984;3355900;4439970000
06.04.2021;544.530029;13698.37988;3474200;4038510000
07.04.2021;546.98999;13688.83984;2151300;4078990000
08.04.2021;554.580017;13829.30957;4309800;4133640000
09.04.2021;555.309998;13900.19043;2894000;3906460000
12.04.2021;552.780029;13850;2944100;4230160000
13.04.2021;553.72998;13996.09961;2720300;4200290000
14.04.2021;540.02002;13857.83984;3740300;4102380000
15.04.2021;549.219971;14038.75977;3139100;4382620000
16.04.2021;546.539978;14052.33984;3209100;4414640000
19.04.2021;554.440002;13914.76953;4288700;4349340000
20.04.2021;549.570007;13786.26953;11257600;4229410000
21.04.2021;508.899994;13950.21973;22897400;3967090000
22.04.2021;508.779999;13818.41016;9061100;4397030000
23.04.2021;505.549988;14016.80957;7307700;4332500000
26.04.2021;510.299988;14138.78027;4388800;4479480000
27.04.2021;505.549988;14090.21973;3761300;4665430000
28.04.2021;506.519989;14051.03027;3193000;4532050000
29.04.2021;509;14082.54981;5127800;4854340000
30.04.2021;513.469971;13962.67969;4413200;4762770000
03.05.2021;509.109985;13895.12012;4091900;4718850000
04.05.2021;503.179993;13633.5;4349500;5852850000
05.05.2021;496.079987;13582.41992;3129400;4517100000
06.05.2021;499.549988;13632.83984;3783700;5000710000
07.05.2021;503.839996;13752.24023;3132800;4376800000
